neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,last_review_year,last_review_month,last_review_day
17,1.31566,103.82666,3,118,7,48,0.81,19,348,2019,8,19
13,1.29671,103.83999,2,94,1,100,1.71,48,336,2019,7,16
6,1.30789,103.89646,3,164,14,4,0.07,1,0,2016,6,26
4,1.31503,103.88605,3,94,1,55,0.95,67,69,2019,7,14
17,1.29377,103.82844,3,160,30,170,3.05,1,0,2018,8,24
5,1.32712,103.86468,3,131,3,36,0.63,1,340,2019,7,26
1,1.2730299999999999,103.82783,2,89,10,1,0.05,1,0,2018,2,23
4,1.31025,103.88325999999999,2,60,1,109,1.86,37,333,2019,8,12
4,1.3110700000000002,103.88292,2,60,1,102,1.73,37,346,2019,8,13
4,1.31045,103.88114,2,60,1,187,3.2,37,324,2019,8,12
8,1.30475,103.84031999999999,2,99,3,6,0.11,18,364,2019,7,20
3,1.27522,103.84696,3,387,2,148,2.59,14,287,2019,8,16
11,1.28142,103.84522,3,250,1,2,0.04,1,0,2015,12,26
9,1.32546,103.8519,3,149,3,28,0.49,203,257,2018,7,12
4,1.31473,103.88733,3,92,7,33,0.62,67,49,2019,4,15
5,1.29775,103.88341,3,100,90,4,0.07,1,209,2015,5,5
17,1.3165200000000001,103.82739000000001,3,240,7,15,0.26,19,329,2019,8,16
3,1.29561,103.8543,3,181,7,40,0.69,40,358,2019,8,17
4,1.31017,103.88253,2,60,1,49,0.85,37,304,2019,8,12
1,1.2843,103.83254000000001,3,181,2,14,0.25,1,0,2016,5,15
5,1.30706,103.86326,2,131,30,6,0.11,2,365,2018,6,2
9,1.3218,103.84266,2,69,1,15,0.26,2,211,2019,8,25
4,1.31528,103.88817,3,87,5,19,0.33,67,74,2019,4,30
9,1.3258,103.85426,3,201,3,9,0.16,203,275,2018,5,15
14,1.30211,103.85189,3,287,2,152,2.65,3,217,2019,8,27
18,1.34151,103.84163000000001,2,75,3,15,0.35,18,256,2019,7,22
3,1.28895,103.85033,3,150,7,117,2.02,40,364,2019,8,20
4,1.30972,103.88266,2,60,1,63,1.09,37,348,2019,8,11
13,1.29702,103.84145,2,119,2,1,0.02,1,0,2015,1,1
4,1.31368,103.88597,3,85,4,49,0.89,67,67,2019,8,4
4,1.31316,103.88735,3,94,15,73,1.27,84,64,2019,7,31
4,1.31161,103.88143000000001,2,90,2,82,1.43,37,358,2019,8,7
12,1.3048899999999999,103.78451,2,81,1,2,0.04,1,0,2015,9,14
13,1.2923799999999999,103.83978,3,287,4,3,0.05,1,0,2016,2,11
4,1.3130700000000002,103.88623,3,119,10,23,0.4,84,88,2019,2,17
4,1.31464,103.88642,3,85,4,80,1.4,84,55,2019,8,13
4,1.3145,103.88606999999999,3,94,5,76,1.32,84,75,2019,8,3
4,1.31102,103.88139,2,60,1,36,0.63,37,365,2019,4,21
4,1.3096,103.88166,2,60,1,57,0.99,37,352,2019,7,26
4,1.31045,103.88148000000001,2,60,1,39,0.69,37,353,2019,8,11
11,1.28175,103.84433,3,132,2,74,1.31,12,341,2019,8,12
17,1.31761,103.8264,3,319,7,18,0.32,19,356,2019,4,27
12,1.30008,103.79455,3,269,5,1,0.02,1,0,2014,12,29
6,1.29704,103.8886,3,215,4,5,0.09,1,0,2015,8,27
7,1.29929,103.84774,2,110,90,4,0.09,2,281,2016,7,31
8,1.30479,103.83518000000001,3,281,2,21,0.41,38,358,2019,8,4
2,1.3310799999999998,103.76853,2,78,5,27,0.54,3,307,2018,8,16
2,1.33179,103.7664,2,87,5,18,0.36,3,269,2018,10,3
10,1.30352,103.83483000000001,3,319,1,13,0.27,38,358,2019,8,5
3,1.27414,103.84595999999999,3,200,70,3,0.06,3,364,2017,8,20
11,1.2851,103.84195,2,42,90,1,0.03,83,365,2016,12,1
11,1.28614,103.8421,2,99,90,2,0.07,83,326,2018,2,1
4,1.31481,103.88611,3,119,14,19,0.35,84,89,2019,3,11
0,1.35418,103.8336,2,60,1,3,0.23,9,356,2019,8,2
4,1.31114,103.88278000000001,2,90,1,150,2.68,37,337,2019,8,12
11,1.2836100000000001,103.84276,2,58,90,168,2.99,2,126,2019,7,29
13,1.29582,103.84221,3,119,28,6,0.12,84,50,2019,3,27
15,1.2873,103.84894,3,186,7,85,1.56,40,363,2019,8,15
17,1.31671,103.82831,3,144,7,18,0.33,19,0,2019,4,30
4,1.31091,103.88131,2,60,1,63,1.12,37,342,2019,8,10
4,1.3103,103.88190999999999,2,60,1,35,0.63,37,350,2019,8,3
13,1.29435,103.83551,2,125,1,1,0.02,1,0,2015,1,16
12,1.30505,103.79822,2,82,4,3,0.08,1,365,2018,9,13
4,1.3155299999999999,103.88662,3,181,5,62,1.17,84,34,2019,8,2
5,1.31408,103.854,2,92,1,8,0.15,9,266,2017,7,4
14,1.3014700000000001,103.84732,3,100,5,1,0.02,67,0,2015,3,21
